["","A","EI","",""]:0.0144620975:1877.8994076386684
["A","G","","","E"]:0.05047347403750001:1288.9976799674807
["","I","","FI",""]:0.026777818397289405:2118.356899041637
["","","","C","GI"]:0.05488502720573216:1873.6807205339637
["D","G","","","E"]:0.03969732606262044:1895.6233282272706
["D","D","K","",""]:0.007121603640588047:1981.9826279168826
["L","H","","","A"]:0.086741606875:784.3167320983318
["AL","F","","",""]:0.09746259601593073:1536.4931957960152
["B","","AI","",""]:0.02544675:1231.7219756322502
["A","D","","A",""]:0.016494996333087927:1376.2320176567416
["","K","","","HJ"]:0.060273370264002396:805.2947080623936
["D","","J","B",""]:0.0036859495251204424:1572.5562321152224
["","A","","I","E"]:0.0294475252:1498.5354855313299
["","A","D","D",""]:0.0144620975:1914.090774505637
["A","H","","F","B"]:0.08714881799518608:1703.2571556666899
["","","FH","","HK"]:0.08213313735370678:1393.3184100366107
["","","","HKL","G"]:0.07860407696249999:949.0853657098262
["H","","","E","AK"]:0.058625993259374995:1126.3347076707619
["F","","L","","BH"]:0.15025317158243134:1690.8322919341617
["I","","B","GL",""]:0.08519135959267776:1610.152463978377
["","","H","H","CH"]:0.03616050695225:1073.7022278290974
["A","","C","DF",""]:0.02616250500777802:2543.175430114403
["IJ","G","A","G",""]:0.056035047036678706:1990.649197219806
["H","H","B","C","B"]:0.0455103638:1530.1439767706183
["J","","L","K","EF"]:0.1192058197921337:2939.3536671550055
["A","HL","","","BK"]:0.12564019638437499:1059.134147693333
["C","I","F","C","E"]:0.05998360909622459:3554.6036649992725
["AHK","","","J","G"]:0.0606258275875:1353.3346418373246
["BJK","K","","A",""]:0.05971416916368141:1560.1680936681844
["","F","G","ACI","G"]:0.04829669447116222:3743.626123741292
["CDI","","EF","","B"]:0.06149384437368011:4655.6782492593165
["G","K","BG","D","J"]:0.08038707938057113:2517.564257792447
["","CFK","EK","","K"]:0.05171912092289399:3451.526497614598
["EI","GH","","GH",""]:0.03906713530735727:2565.8562119349963
["HJK","F","K","","C"]:0.07315981425029253:2788.802075575052
["EL","F","AG","","EF"]:0.1202186632524832:4223.729575240936
["H","E","BK","DF","D"]:0.026054446758168846:3623.1643802734934
["C","FGI","","AC","C"]:0.02971150575415763:4177.646582120847
["BG","AE","","KL","H"]:0.16099883040811142:2712.363974274281
["","DF","DJ","DG","D"]:0.015461630370887311:4973.289462491441
["EH","B","HJ","FG","F"]:0.08306449642195024:4137.723215259204
["AB","F","K","AH","AD"]:0.08242489785899916:3081.550890104141
["G","E","BFH","H","EG"]:0.08744746907200963:3516.941690824011
["AE","BL","","BGIK",""]:0.10676250993280471:3688.792109375658
["EH","CK","A","K","HL"]:0.10050576505:2469.1095154459877
["I","IL","J","HIK","L"]:0.08043271118452319:3550.2650617837053
["G","GK","B","J","FHJ"]:0.07272904610289115:3121.709382359407
["JK","AE","","HKL","HK"]:0.16994556333855537:2991.238417594257
["CDG","I","J","F","DHK"]:0.07481211258394826:5829.0103721348705
["GK","H","DFJ","B","DF"]:0.058911699493220004:4482.405319291995
["FHK","","DFI","","EFH"]:0.061837849330600075:5541.54031349237
["J","A","K","BCDH","AGI"]:0.11943808657718008:4650.768234413752
["GH","DEI","FG","BJ","E"]:0.09916464849109104:5744.512055550918
["FHIK","","L","DJL","FG"]:0.1013545735244358:5245.086750339887
["EG","EJ","AJL","C","BEJ"]:0.11932422427504157:5816.86544165335
["G","EGJ","AEJ","AJ","BH"]:0.12770657143651787:5215.315588623887
["EK","BC","ABHKL","","HK"]:0.12287940059967786:3681.751669912239
["A","EGHK","CFJ","AH","AF"]:0.07558460962257149:5338.843006153098
["ABK","EJ","B","EIJK","CL"]:0.13945758051328097:5576.997241165213
["BIL","CL","IL","FJL","BE"]:0.11742182901984338:6656.07611022413
["BEHI","BL","CEI","FH","J"]:0.15558486376056768:6885.974885336533
["C","AK","ABCE","BK","BGI"]:0.0839589137575705:5831.219487458462
["FHI","CDIK","HJ","ABD",""]:0.03840910500199672:6322.314408195813
