["","","","","ABHK"]:0.0593604735726:1065.68109738
["","","","","AHK"]:0.0484343283023:419.987755366
["","","","","EHK"]:0.038627747125:785.346003279
["","","","","JK"]:0.0432857319039:619.955203711
["","","","AE","F"]:0.0417120994363:2394.65832289
["","","","BJ","H"]:0.0299760794523:898.974864181
["","","","H","HL"]:0.0875542075772:593.873678489
["","","A","","BHK"]:0.06207642145:687.173861193
["","","B","H","E"]:0.0079923027:1030.35690978
["","","BK","","E"]:0.0079923027:1023.90313265
["","","CJL","C","I"]:0.0570046232212:3215.90543601
["","","L","","AGHK"]:0.124263707738:1122.72896022
["","A","EFG","DIL","CEFIL"]:0.0728598387111:8217.2621232
["","A","L","","C"]:0.070900116875:1292.30825443
["","ABEFI","K","BCK","FJ"]:0.0450479249506:6254.89108623
["","ACL","GH","FI","AHI"]:0.135769849187:5003.96323567
["","AGH","BGL","AEF","CH"]:0.145628268478:4482.091544
["","AL","JL","J","L"]:0.073612725625:2224.67696038
["","B","","","AHL"]:0.126001599375:844.49363932
["","B","A","AGI","L"]:0.0940787145147:2378.49910304
["","BF","D","A","C"]:0.038153171873:3117.69030466
["","C","","","HL"]:0.0914006350772:1112.95508755
["","DI","DIL","BGK","EI"]:0.0670853391626:5402.70904199
["","E","","H","EK"]:0.013926885675:1464.93954192
["","EG","L","",""]:0.0751700144625:1355.99486195
["","F","","K","B"]:0.0601945557668:1479.37643839
["","G","G","I",""]:0.0223416124125:1500.38854671
["","GH","","","BF"]:0.0685746036779:1797.5475636
["","GHJK","","I",""]:0.0546534923327:2145.59842026
["","GL","","","G"]:0.0764856780375:1083.88359361
["","L","","A","B"]:0.083586966975:875.429206403
["A","","BD","GHJ","E"]:0.03122860012:3149.46902396
["A","","C","G",""]:0.037292855:1349.86054154
["A","B","EJ","AE","F"]:0.0826480152893:4203.3657111
["A","E","","","HI"]:0.0649956305793:1649.41765954
["AB","D","","",""]:0.0388367988331:1309.57432453
["ABJ","","BL","C","B"]:0.116503602583:2525.92598048
["AC","HL","ADG","AD","I"]:0.118265251851:4793.59041493
["ADEFJ","EG","K","FI","B"]:0.0841288392931:6129.78501698
["ADFI","AD","","CKL","C"]:0.0758826074219:5369.9967064
["ADK","CL","G","GK","H"]:0.115909430608:3531.98756589
["AE","I","ACEJ","B","H"]:0.0579264019153:5328.85337807
["AEFGH","","FH","D","FHJ"]:0.0769145316736:6310.14258143
["AEFL","BEL","EF","IJ","C"]:0.0986993025809:8323.84449095
["AEGL","HK","F","","BHK"]:0.161718020194:4353.70842816
["AEIL","E","H","CD","CFI"]:0.0662510616457:7520.0600934
["AFGHL","BK","","EL","HJK"]:0.167627806906:5289.63170895
["AFK","","","HIK","G"]:0.0537350829468:2987.73307269
["AGH","BGK","FG","EFL","FHIJK"]:0.170034795527:7271.14299511
["AGH","BK","","F","HJK"]:0.145942228149:2863.03404371
["AGHL","BGIK","F","EFL","FHIJK"]:0.199470996362:8009.94129054
["AGHL","BJK","F","","HJK"]:0.184899761353:3751.27683545
["AGHL","BJK","F","L","HKL"]:0.206201502932:3864.79500691
["AGHL","BK","","","HJ"]:0.179751765112:1954.68318325
["AGHL","BK","","F","AHJK"]:0.194939995113:3437.57358393
["AGHL","BK","","L","DHJK"]:0.169958911555:3094.4573727
["AGHL","BK","BF","EL","FHIJK"]:0.19916727528:6141.80589953
["AGHL","BK","F","AE","HKL"]:0.196078684215:4289.33909324
["AGHL","BK","F","E","AHKL"]:0.194625512857:4207.02188279
["AGHL","BK","F","EL","FHIJ"]:0.202481313923:5637.58326193
["AGHL","BK","F","L","AHKL"]:0.196978865932:3950.79461467
["AGHL","BK","K","F","HKL"]:0.194455241941:3178.88389145
["AGHL","CK","F","E","BHK"]:0.193973841628:3859.82065584
["AGHL","J","","","BFHK"]:0.181076622246:3015.46185365
["AGHL","J","","","BHL"]:0.203143546531:1961.13514525
["AGHL","JK","","","BH"]:0.196038273477:1996.72797205
["AGHL","JK","F","","HIK"]:0.206064075063:3620.53825868
["AGHL","K","","","AHK"]:0.148706728838:1631.2291092
["AGHL","K","F","E","BHK"]:0.192933684215:3240.30318981
["AGL","","I","","BH"]:0.161510167687:1874.87110923
["AGL","BHK","","","HK"]:0.170283880088:1673.58960053
["AGL","BHK","","E","JK"]:0.181974122715:2620.42721799
["AGL","BHK","F","EFL","HKL"]:0.208353713076:5142.54408885
["AGL","BHK","FL","EL","HJKL"]:0.20600717476:5599.57513877
["AGL","HK","","","BHK"]:0.172281955762:1639.18827114
["AGL","HK","","E","HJK"]:0.169926057573:2544.36471816
["AGL","HK","","EL","FHIJK"]:0.165755355807:4718.48577517
["AGL","HKL","","E","BHK"]:0.178409158262:2533.85112389
["AGL","J","","","BHK"]:0.199187314806:1767.50911923
["AHK","","","J","G"]:0.0463623557125:1353.33464184
["AHL","J","","E","BHK"]:0.177293479618:2067.04049725
["AI","BGH","AD","BKL","BCG"]:0.123054149906:5078.00344596
["AI","H","FI","AH",""]:0.0422466305012:2939.32475307
["AJ","AEL","EIK","AF","BH"]:0.157623463148:6232.16286953
["AJ","H","FG","AG",""]:0.0986703161012:3082.37948755
["AL","","","","BHK"]:0.13483877145:955.857137811
["AL","","","","BK"]:0.1062014027:896.797900053
["AL","EK","","","BHK"]:0.13877527875:1778.3929175
["AL","K","","","HK"]:0.111807781952:1052.09193713
["B","BDI","CH","",""]:0.0328461076743:2691.23602605
["B","EI","B","DL",""]:0.0432919753524:3443.74871132
["B","JK","","",""]:0.0617128477899:990.343410302
["B","K","F","K",""]:0.059703890016:1736.13076501
["BC","","B","J","B"]:0.03217580625:1841.11969359
["BD","DGK","AGL","GHK","K"]:0.0943382017308:4666.5666821
["BE","AB","L","BCDJ","L"]:0.100038556311:4972.40693469
["BEIL","BDHI","","EI","AL"]:0.0973295479303:6176.9051263
["BEL","BD","CF","","CFGI"]:0.101868655307:8026.73523247
["BG","D","AIJ","AEK","EF"]:0.0905265957834:6169.53437112
["BHJK","I","EL","EK","BGIJ"]:0.138247276146:5139.62499662
["BHK","F","K","","D"]:0.0734694357926:2565.79813092
["BHL","BEIK","J","ABL","K"]:0.112353039655:4750.32697977
["BIL","CL","IL","FJL","BE"]:0.106693837143:6656.07611022
["BJ","C","EFHJ","IJ","DKL"]:0.0768866249032:6149.05499554
["BJL","BHK","","ABD","H"]:0.110898497191:3275.65509691
["BK","","","DI","B"]:0.031411155:1930.11392445
["BL","","","","ABH"]:0.13281087375:1017.60148202
["C","","","EF",""]:0.0336022067321:2598.43048018
["C","CJL","","","HK"]:0.0913697038569:2945.2381748
["C","FHJ","BCF","J","EJ"]:0.0668967891638:6251.44654003
["C","H","BF","L","HIKL"]:0.125349098446:3957.88094391
["CD","","I","","HJ"]:0.0655904969465:3153.39781907
["CG","","EJ","I","D"]:0.0362247929504:3860.55243886
["CH","B","BK","ABFH",""]:0.0625279896161:3142.38735492
["CI","HJ","AH","AK","GHIL"]:0.137386629332:4780.15827785
["D","","","C","BJ"]:0.0536292644156:2269.34776999
["D","CDHK","EFH","","DFJ"]:0.0503561818586:7112.93409327
["D","CKL","GKL","CFJ","GJL"]:0.134032808364:6422.44927397
["D","I","AD","",""]:0.0097695696553:2686.22153938
["DE","CDF","DKL","BH","D"]:0.0246372143095:7392.17190465
["DE","FGHI","BDG","AE","H"]:0.0689484139126:7350.75292068
["DG","AI","EK","BEGKL","AF"]:0.0878572736471:7017.37308965
["DGH","ACG","A","H","L"]:0.100544444818:3624.49165061
["DHIL","BGIK","DEG","","CD"]:0.0538269056722:8201.47448764
["DI","BC","DJ","AFJ","BEK"]:0.056793555349:6441.29236368
["DIJ","CJ","BEJ","ABCEG","B"]:0.0911839919378:8128.69835431
["DJ","","","","K"]:0.0227918819414:1325.56022406
["E","","","H","A"]:0.0144620975:1045.11264418
["E","A","HJ","","F"]:0.0489524279452:2473.74172596
["E","GJ","","",""]:0.0558217820295:1677.4071831
["E","J","HI","","J"]:0.0557035630449:2313.37254342
["EFH","AF","BE","ABJ","B"]:0.0827968777402:6172.45480398
["EG","F","ACFG","BJ","FIL"]:0.0889940898207:7591.3730768
["EIK","G","A","J","I"]:0.0671257820277:3732.24071129
["EK","F","","","J"]:0.0665635453012:2271.83396764
["F","","BJ","BC","ABEI"]:0.0795465649151:4695.93018758
["F","","I","K","CJ"]:0.0733888667146:3360.56280837
["F","ACJ","G","ABI",""]:0.0895455539366:4435.41554241
["F","B","H","",""]:0.0683891229933:1445.04840526
["F","DI","","I",""]:0.0457854160859:2998.55222983
["FG","","","","C"]:0.0530040356601:2324.34539693
["FHJ","CFGJ","I","","CK"]:0.0550614939108:5812.79994482
["FI","ACH","G","F",""]:0.0841922658442:3780.76158775
["FJK","A","FL","ADI","CEFJ"]:0.0880142965841:7913.39163345
["G","AIL","CDEFG","H","BDGJ"]:0.0920104372612:8388.35628473
["G","CIL","G","","G"]:0.0651176191577:3454.15280715
["G","F","BDI","BEFIJ",""]:0.0670003522795:5848.82566513
["G","I","I","D","I"]:0.0775320320277:3202.89600791
["GHKL","AIJ","","FI","BCE"]:0.157706517057:6056.53324366
["GHL","K","","","AHK"]:0.148706728838:1449.21823674
["GHL","K","J","","BHK"]:0.160924805763:1905.57438828
["GK","DEGH","","EFI","GJ"]:0.104836929932:6416.45119748
["GL","","","","AHK"]:0.141931092113:1128.67908265
["GL","","C","A","HJ"]:0.148575850948:2189.0855712
["GL","K","","","AHK"]:0.143899345763:1382.3993295
["H","","CDHJ","CG","DK"]:0.042634116503:4388.31532869
["H","C","","I","I"]:0.0469800109257:2132.92751344
["H","DFHL","","L","J"]:0.123927047576:3275.09165439
["H","HK","B","","BIJK"]:0.0595338289795:2114.06623898
["H","I","","","BFGI"]:0.06089578709:3137.91494251
["H","K","K","H","GH"]:0.0580212500875:1307.59466356
["HI","","A","D",""]:0.0111431336814:1850.69299157
["HI","BG","EG","ABH","DG"]:0.0650975086382:4161.23389527
["HJ","DGK","EH","D","BDH"]:0.082846595851:5075.72761248
["HJL","A","EFH","BDHJ","G"]:0.114690824994:5238.98157677
["HL","","","",""]:0.072279509375:430.300870143
["HL","","","","AH"]:0.110325998175:739.878381826
["HL","","","","BHK"]:0.128289004525:858.96935884
["HL","","","","HL"]:0.099008900675:830.631178274
["HL","K","","","AGHK"]:0.138300478838:1442.79079778
["HL","K","","","H"]:0.095863900675:848.317102396
["I","","","CEGL","J"]:0.106491998033:4288.91948923
["I","BEL","","H","CEHJ"]:0.0985103843877:5177.18958635
["I","CH","DE","AHI","CEFHK"]:0.0550459756845:7320.61820966
["IL","BCF","IL","EFG","E"]:0.0913437453512:7699.02920367
["J","F","K","GL","DE"]:0.141337812018:4088.49910135
["J","G","BGK","FGH","FJ"]:0.0960749398846:4554.62806766
["J","H","J","",""]:0.0615583990724:1063.5085696
["J","I","DFGHI","L","I"]:0.153210838067:5054.35677195
["JK","BHK","H","A","JK"]:0.0874858175263:2271.40623417
["JL","D","AJ","AHL","ADH"]:0.112351240143:4254.60090578
["K","","FI","FL","CH"]:0.0852698353387:3875.43454813
["K","G","E","","H"]:0.0561960695125:1473.7526679
["L","","","","AHL"]:0.108988376952:912.68933894
["L","","","","H"]:0.0913812794523:530.231423326
["L","","","JL",""]:0.0645502:1226.06748625
["L","BCGHK","G","ACE",""]:0.123370830068:5790.22919171
["L","E","","","ABH"]:0.13281087375:1475.65115034
["L","G","","","BHK"]:0.143742919038:1226.16028675
["L","IK","","","BHK"]:0.131931270007:1751.57861592
["L","K","","","BH"]:0.1194854701:937.224150595
["L","K","","","BK"]:0.09681250635:989.264935709
